asof_date,rooms
2023-11-16,8111
2023-11-17,8382
2023-11-18,8544
2023-11-19,8548
2023-11-20,8594
2023-11-21,8769
2023-11-22,8890
2023-11-23,8871
2023-11-24,8744
2023-11-25,8642
2023-11-26,9065
2023-11-27,9188
2023-11-28,9656
2023-11-29,9878
2023-11-30,10065
2023-12-01,10029
2023-12-02,10050
2023-12-03,9999
2023-12-04,9880
2023-12-05,10047
2023-12-06,10123
2023-12-07,10070
2023-12-08,10039
2023-12-09,9976
2023-12-10,9814
2023-12-11,9765
2023-12-12,9715
2023-12-13,9655
2023-12-14,9462
2023-12-15,9367
2023-12-16,9338
2023-12-17,9236
2023-12-18,9159
2023-12-19,9111
2023-12-20,9032
2023-12-21,8970
2023-12-22,8919
2023-12-23,8858
2023-12-24,8765
2023-12-25,8675
2023-12-26,8596
2023-12-27,8560
2023-12-28,8547
2023-12-29,8450
2023-12-30,8351
2023-12-31,8278
2024-01-01,8180
2024-01-02,8136
2024-01-03,8326
2024-01-04,8523
2024-01-05,8874
2024-01-06,8902
2024-01-07,8852
2024-01-08,8781
2024-01-09,8917
2024-01-10,9125
2024-01-11,9256
2024-01-12,9350
2024-01-13,179
2024-01-14,9255
2024-01-15,9172
2024-01-16,9157
2024-01-17,9161
2024-01-18,9265
2024-01-19,9412
2024-01-20,9498
2024-01-21,9474
2024-01-22,9489
2024-01-23,9785
2024-01-24,9802
2024-01-25,9873
2024-01-26,10059
2024-01-27,10092
2024-01-28,10067
2024-01-29,10079
2024-01-30,10211
2024-01-31,10384
2024-02-01,10413
2024-02-02,10418
2024-02-03,10423
2024-02-04,10362
2024-02-05,10371
2024-02-06,10451
2024-02-07,10701
2024-02-08,10785
2024-02-09,10818
2024-02-10,10885
2024-02-11,10799
2024-02-12,10731
2024-02-13,11062
2024-02-14,11257
2024-02-15,11429
2024-02-16,11447
2024-02-17,11512
2024-02-18,11421
2024-02-19,11327
2024-02-20,11400
2024-02-21,11553
2024-02-22,11494
2024-02-23,11528
2024-02-24,11581
2024-02-25,11514
2024-02-26,11435
2024-02-27,11573
2024-02-28,11350
2024-02-29,11432
2024-03-01,11575
2024-03-02,11683
2024-03-03,11616
2024-03-04,11535
2024-03-05,11622
2024-03-06,11753
2024-03-07,11833
2024-03-08,11924
2024-03-09,11935
2024-03-10,11870
2024-03-11,11841
2024-03-12,11796
2024-03-13,11889
2024-03-14,11860
2024-03-15,11790
2024-03-16,11756
2024-03-17,11648
2024-03-18,11557
2024-03-19,11611
2024-03-20,11743
2024-03-21,11566
2024-03-22,11494
2024-03-23,11473
2024-03-24,11401
2024-03-25,11282
2024-03-26,11278
2024-03-27,11202
2024-03-28,11178
2024-03-29,11154
2024-03-30,11060
2024-03-31,10878
2024-04-01,10733
2024-04-02,10709
2024-04-03,10830
2024-04-04,10820
2024-04-05,10792
2024-04-06,10757
2024-04-07,10624
2024-04-08,10549
2024-04-09,10578
2024-04-10,10669
2024-04-11,10737
2024-04-12,10700
2024-04-13,10641
2024-04-14,10564
2024-04-15,10497
